悟心直播重要公告,#genre#
月老掉线,https://vd3.bdstatic.com/mda-ndd3ta6xy3x4ybtf/720p/h264_delogo/1649904116948342384/mda-ndd3ta6xy3x4ybtf.mp4
清明上河图,https://vd3.bdstatic.com/mda-jd8h8zh5n699zjcb/hd/mda-jd8h8zh5n699zjcb.mp4?pd=19&vt=1

这世界有那么多人,https://vd2.bdstatic.com/mda-qcjsk0hvyctsv3sy/sc/cae_h264/1710960799647565139/mda-qcjsk0hvyctsv3sy.mp4?v_from_s=bdapp-resbox-hnb

新贵妃醉酒,https://vdse.bdstatic.com//6425039032d933cc854aeb6a31ad3005.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-05T14%3A16%3A33Z%2F-1%2Fhost%2Fe3dfe425330efa5b47cf136ab2052f02a2d7c67b3d57146cd15aa26575a966e1
武家坡,https://vd2.bdstatic.com/mda-qch4rifj4xxqb237/sc/cae_h264/1710732944508209393/mda-qch4rifj4xxqb237.mp4?v_from_s=bdapp-bdappcore-feed-hnb
偏爱,https://vdse.bdstatic.com//93378a2b6495a63a8e3ca961dcad7562.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-05T14%3A49%3A13Z%2F-1%2Fhost%2Fc410ee94220ff6868324c2384a2151f0e48930c45ccb4491c11a2ef218392794

来生缘,https://vdse.bdstatic.com//81359d570d53dd6ebd7659761fd904a6.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-05T14%3A49%3A13Z%2F-1%2Fhost%2F101be0507fba333d7a629bf093ca28ca303effd763a2bddebb5946e934b0a8fa

如果天有情,https://vdse.bdstatic.com//0556bc9725229056646b4769566e8e63.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-04T22%3A36%3A04Z%2F-1%2Fhost%2Fac3e7d4c7f7453356247021305ecc4257a355e6fc518cfe6a3d5bf4e32c40a66

爱不完,https://vd3.bdstatic.com/mda-pg46epu07d6yt925/576p/h264/1688531574150146191/mda-pg46epu07d6yt925.mp4?pd=19&vt=1
我和我追逐的梦,https://vd3.bdstatic.com/mda-pfg6h932w2pesivk/hd/cae_h264/1686977789865189506/mda-pfg6h932w2pesivk.mp4?pd=19&vt=1
迟来的爱-金润吉,https://vdse.bdstatic.com//a42c5827b3e690ded07793014356196b.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-05T13%3A32%3A32Z%2F-1%2Fhost%2Fe48b6e8062b1cb4a890aef75d3581e39402881d5c24fb6e14ee7504560a28880

偷心,https://vdse.bdstatic.com//1b4eb3f618ecc27732a9c389938f651d.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-05T13%3A48%3A21Z%2F-1%2Fhost%2F54a9b7429ed0f0cb9d8b0f4f7b70952c7add2a5731025f091fce389a47647dc3

慢慢,https://vdse.bdstatic.com//03c1a01599df8d6a2ba1233a50d981b4.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-05T12%3A30%3A21Z%2F-1%2Fhost%2F927cf0f2653019dc7f47ddc2a693d17e0bee3ab14dc7a7b4311c0b88fbf8ffde

春风何时来,https://vdse.bdstatic.com//fe57cd739a668f046561f8f080ebe63e.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-05T16%3A02%3A20Z%2F-1%2Fhost%2F00d5fdd7f1d735453442eacec7b4e526341e14cdd618f055a792682b34822ebf

我的好兄弟,https://vd3.bdstatic.com/mda-ka7dxmtidw4hvsr4/sc/mda-ka7dxmtidw4hvsr4.mp4?pd=19&vt=1

麒麟,https://vdse.bdstatic.com//090a11f88eb3c57c7d5482b56c3cdacb.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-04T11%3A24%3A41Z%2F-1%2Fhost%2Fd13ca0af13c4735fb89ea9403e27deb5928b940e9651ff23449ca9bf86d694ce

兄弟想你了,https://vd3.bdstatic.com/mda-kjtge9m0cnw0er1k/hd/mda-kjtge9m0cnw0er1k.mp4?pd=19&vt=1

兄弟想你了,https://vd3.bdstatic.com/mda-pf65benfmr7vtykb/576p/h264/1686109593031123212/mda-pf65benfmr7vtykb.mp4?pd=19&vt=1

兄弟想你了,https://vd3.bdstatic.com/mda-ki3nqi1azfve7txr/hd/mda-ki3nqi1azfve7txr.mp4?pd=19&vt=1
少年霜–花粉症,https://vd4.bdstatic.com/mda-qch7nqgqt3jdb0dh/sc/cae_h264/1710740077421612477/mda-qch7nqgqt3jdb0dh.mp4?v_from_s=bdapp-resbox-hnb

上春山,http://154.3.2.66:8889/down/sZvJSXmzeAea.mp4
天涯,https://vdse.bdstatic.com//ffaa369e557d4bc9f79e5e767cf5208b.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-18T02%3A44%3A59Z%2F-1%2Fhost%2Ffd4c765bdcf78460ae30c3483794e79692b8deaf7234b55bcc5e2ecc7ee27161

黄昏（歌曲）,https://vdse.bdstatic.com//4687b00f9ca085805dec4878eb4a10f2.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-02T10%3A45%3A53Z%2F-1%2Fhost
晴天（歌曲）,https://vdse.bdstatic.com//062910a612299a0aae206c649bd52bee.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-06T04%3A11%3A54Z%2F-1%2Fhost%2Fa38e0aba8e2c66d5a7dd2761df9286923728d2376f107bc4e56cd3e8c36c272b

风中有朵雨做的云（歌曲）,https://vd3.bdstatic.com/mda-mm33162pdjxk5tnt/sc/cae_h264_nowatermark/1638585450589404699/mda-mm33162pdjxk5tnt.mp4?pd=19&vt=1
折枝花满衣（歌曲）,https://vd4.bdstatic.com/mda-qcrwrzvg4hf3em8z/720p/h264/1711489774384515505/mda-qcrwrzvg4hf3em8z.mp4?v_from_s=bdapp-landingpage-hna

燕无歇（歌曲）,https://vdse.bdstatic.com//10a648a0e2bd29dca2f34366a347b15c.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-22T04%3A17%3A09Z%2F-1%2Fhost%2F4409587510bc1820144d1d5e154937a4d9dc662ad2074d8338c91dcbdcbe8fcc

童话镇（歌曲）,https://vd4.bdstatic.com/mda-qcnrzkxwrfbjnzkn/720p/h264/1711218255789082395/mda-qcnrzkxwrfbjnzkn.mp4?v_from_s=bdapp-resbox-hnb

失落沙洲（歌曲）,https://vdse.bdstatic.com//58ec408968d7caede5ff7f5cc610ffcb.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-22T08%3A10%3A03Z%2F-1%2Fhost%2Ffeae0ad8cc3f8a1629aee52e6d331889193dfe002fab7cfe218dd4f73061372f

远走高飞（歌曲）,https://vdse.bdstatic.com//33a4397a65ddf3b43dd614a9ca7cfbe9.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-22T17%3A55%3A36Z%2F-1%2Fhost%2F61abcb6cb6f14cf1730e48ac4a428fea5504cc060da67f4805599985266ec9ce

声声慢吴语（歌曲）,https://vdse.bdstatic.com//32ea159e8a65cfa0be2e3acba104cff2.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-23T13%3A57%3A44Z%2F-1%2Fhost%2Fb8c18819457a286f2012602db84061335c32ba49cb5b804c3acbe385308e9952

声声慢（歌曲）,https://vd3.bdstatic.com/mda-qbp9ynjs726if0hy/sc/cae_h264/1708819250428220756/mda-qbp9ynjs726if0hy.mp4?pd=19&vt=1

你的轮廓（歌曲）,https://vd3.bdstatic.com/mda-mh0jpn0r5th7xgu5/hd/cae_h264/1627947043599325431/mda-mh0jpn0r5th7xgu5.mp4?pd=19&vt=1
有没有人告诉你（歌曲）,https://vd3.bdstatic.com/mda-pc6d27njvcjujufg/576p/h264/1678180568680101637/mda-pc6d27njvcjujufg.mp4?pd=19&vt=1


玲珑心（歌曲）,https://vd4.bdstatic.com/mda-qcpyk8umgfub3fpv/720p/h264/1711321439575626899/mda-qcpyk8umgfub3fpv.mp4?v_from_s=bdapp-resbox-hna

纠结（歌曲）,https://vd3.bdstatic.com/mda-qcq88dyh898msk28/sc/cae_h264/1711345932648482627/mda-qcq88dyh898msk28.mp4?v_from_s=bdapp-resbox-hnb

缘（歌曲）,https://vd3.bdstatic.com/mda-qcq7yq7h0003nbig/720p/h264/1711345056681521667/mda-qcq7yq7h0003nbig.mp4?v_from_s=bdapp-resbox-hnb

沈园外（歌曲）,https://vd4.bdstatic.com/mda-qcsnzzh95ieru1dx/720p/h264/1711556273690050547/mda-qcsnzzh95ieru1dx.mp4?v_from_s=bdapp-bdappcore-feed-hna

空空如也（歌曲）,https://vdse.bdstatic.com//8a97fd9914c80aebd18334c22bb6f7a8.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-28T06%3A53%3A18Z%2F-1%2Fhost%2Fbe27929d9d8d5b164467ae178f1882c9fe22a7b33dd8348a9c2ba558f918940e

孙楠+韩红-美丽的神话,http://em.21dtv.com/songs/60029223.mkv
张国荣-热情的沙漠(演唱会),http://em.21dtv.com/songs/60036263.mkv
张惠妹-冲动(演唱会),http://em.21dtv.com/songs/60012845.mkv
张国荣-侧面(演唱会),http://em.21dtv.com/songs/60012140.mkv
谢雷-热情的沙漠(演唱会),http://em.21dtv.com/songs/60036261.mkv
谭咏麟+李克勤-球迷奇遇记(演唱会),http://em.21dtv.com/songs/60035811.mkv
因果兄弟-我爱你中国(演唱会),http://em.21dtv.com/songs/60044656.mkv
孙维良+宁可-康定情歌(演唱会),http://em.21dtv.com/songs/60067159.mkv
孙彭飞-温柔的伤害,http://em.21dtv.com/songs/60062958.mkv
樊奕敏-热情的沙漠(演唱会),http://em.21dtv.com/songs/60064791.mkv
赵传-快乐似神仙(演唱会),http://em.21dtv.com/songs/60025784.mkv
郑璐-让青春激扬(演),http://em.21dtv.com/songs/60099540.mkv
吴涤清-阿里巴巴(演唱会),http://em.21dtv.com/songs/60066768.mkv
孙淑媚-没伴,http://em.21dtv.com/songs/60028706.mkv
叶倩文-冲动(演唱会),http://em.21dtv.com/songs/60012844.mkv
刘德华-缠绵(演唱会),http://em.21dtv.com/songs/60012256.mkv
白冰+胡歌-美丽的神话,http://em.21dtv.com/songs/60113900.mkv
白冰+胡歌-美丽的神话,http://em.21dtv.com/songs/60029221.mkv
甄妮-热情的沙漠(演唱会),http://em.21dtv.com/songs/60036264.mkv
柳影虹-偏偏喜欢你(演唱会),http://em.21dtv.com/songs/60062698.mkv
刘德华-开心的马骝(演唱会),http://em.21dtv.com/songs/60025029.mkv
陈百强-今宵多珍重(演唱会),http://em.21dtv.com/songs/60023922.mkv
成龙+金喜善-美丽的神话,http://em.21dtv.com/songs/60029222.mkv
汪明荃-万水千山总是情(演唱会),http://em.21dtv.com/songs/60043309.mkv
麦德罗-热情的沙漠(演唱会),http://em.21dtv.com/songs/60077340.mkv
伍佰-挪威的森林(演唱会),http://em.21dtv.com/songs/60032810.mkv
汪峰-怒放的生命(演唱会),http://em.21dtv.com/songs/60032787.mkv
孙露-鬼迷心窍,http://em.21dtv.com/songs/60115857.mkv
姜育恒-梅兰梅兰我爱你,http://em.21dtv.com/songs/60028995.mkv
佚名-雨中即景,http://em.21dtv.com/songs/60055754.mkv
李克勤+梁荣忠-恋爱大过天(演唱会),http://em.21dtv.com/songs/60026999.mkv
梁静茹-纯真(演唱会),http://em.21dtv.com/songs/60013402.mkv
许巍-少年,http://em.21dtv.com/songs/60038121.mkv
张行-一条路(演唱会),http://em.21dtv.com/songs/60053735.mkv
陈慧娴-明日有明天(演唱会),http://em.21dtv.com/songs/60030151.mkv
郑融-受够,http://em.21dtv.com/songs/60039715.mkv
张学友+许慧欣-流星下的愿(演唱会),http://em.21dtv.com/songs/60027735.mkv
郑少秋-书剑恩仇录(演唱会),http://em.21dtv.com/songs/60039733.mkv
刘德华-世界第一等,http://em.21dtv.com/songs/60039261.mkv
梁静茹-如果有一天(演唱会),http://em.21dtv.com/songs/60036968.mkv
侧田-千亿个夜晚(演唱会),http://em.21dtv.com/songs/60034179.mkv
张帝-毛毛歌(演唱会),http://em.21dtv.com/songs/60028653.mkv
成龙+金喜善-美丽的神话(hd剧情),http://em.21dtv.com/songs/60029219.mkv
李登威-你欠扁(无原唱),http://em.21dtv.com/songs/60031948.mkv
陈慧娴-逝去的诺言(演唱会),http://em.21dtv.com/songs/60039551.mkv
李谷一-我爱你中国,http://em.21dtv.com/songs/60044658.mkv
汪明荃-今宵多珍重(演唱会),http://em.21dtv.com/songs/60076130.mkv
谭咏麟+杜丽莎-今宵多珍重(演唱会),http://em.21dtv.com/songs/60070818.mkv
徐佳莹-旅行的意义(演唱会),http://em.21dtv.com/songs/60076514.mkv
周蕙-如果没有你(演唱会),http://em.21dtv.com/songs/60036826.mkv
李克勤-三千零一夜(演唱会),http://em.21dtv.com/songs/60037285.mkv
战斧乐队-美丽的世界,http://em.21dtv.com/songs/60130358.mkv
罗时丰-故乡的月,http://em.21dtv.com/songs/60019100.mkv
梦之旅-故乡的云(演唱会),http://em.21dtv.com/songs/60075575.mkv
尤雅-梅兰梅兰我爱你(演唱会),http://em.21dtv.com/songs/60028994.mkv
李宇春-零点五英里(演唱会),http://em.21dtv.com/songs/60027451.mkv
邓丽君-你在我心中(演唱会),http://em.21dtv.com/songs/60032477.mkv
李丽蕊-念亲恩(演唱会),http://em.21dtv.com/songs/60083552.mkv
张行-再说一句多余的话(演唱会),http://em.21dtv.com/songs/60056983.mkv
庾澄庆+吴莫愁+金池+王韵壹-热情的沙漠,http://em.21dtv.com/songs/60071078.mkv
石修-今宵多珍重(演唱会),http://em.21dtv.com/songs/60076129.mkv
郭富城-木偶袭地球(演唱会),http://em.21dtv.com/songs/60030576.mkv
古巨基+李泉-热情的沙漠,http://em.21dtv.com/songs/60098177.mkv
龚月-念亲恩,http://em.21dtv.com/songs/60032662.mkv
邰正宵-亲爱的小孩,http://em.21dtv.com/songs/60097616.mkv
吴涤清-爱的路上千万里(演唱会),http://em.21dtv.com/songs/60066783.mkv
梅花三姐妹-流浪走天涯(演唱会),http://em.21dtv.com/songs/60027690.mkv
甄妮+MELODY-梦中的妈妈(演唱会),http://em.21dtv.com/songs/60029774.mkv
陈奕迅-马利奥派对(演唱会),http://em.21dtv.com/songs/60028368.mkv
潘秀琼-如果没有你(演唱会),http://em.21dtv.com/songs/60036823.mkv
宁可+孙维良-康定情歌(演唱会),http://em.21dtv.com/songs/60083216.mkv
吴涤清-康定情歌(演唱会),http://em.21dtv.com/songs/60067160.mkv
张伟文-逝去的诺言(演唱会),http://em.21dtv.com/songs/60039552.mkv
梅艳芳-你留我在此,http://em.21dtv.com/songs/60031903.mkv
SOLER-天才白痴梦(演唱会),http://em.21dtv.com/songs/60041752.mkv
许巍-漫步,http://em.21dtv.com/songs/60028562.mkv
陈淑桦+李宗盛-你走你的路,http://em.21dtv.com/songs/60032576.mkv
林子祥-千亿个夜晚(演唱会),http://em.21dtv.com/songs/60034180.mkv
高向鹏-老兄行酒楼(演唱会),http://em.21dtv.com/songs/60026442.mkv
吴涤清-梅兰梅兰我爱你(演唱会),http://em.21dtv.com/songs/60028993.mkv
张靓颖+权振东-亲爱的小孩,http://em.21dtv.com/songs/60069469.mkv
西部牛仔-故乡的云,http://em.21dtv.com/songs/60071968.mkv
刀郎-沙枣花儿香(演唱会),http://em.21dtv.com/songs/60037482.mkv
林子祥-每一个晚上(演唱会),http://em.21dtv.com/songs/60029088.mkv
朱咪咪-热情的沙漠(演唱会),http://em.21dtv.com/songs/60036265.mkv
金志文-没那么简单,http://em.21dtv.com/songs/60070909.mkv
黄小琥-突然的自我(演唱会),http://em.21dtv.com/songs/60042926.mkv
张信哲-亲爱的小孩,http://em.21dtv.com/songs/60119496.mkv
张伟文-故乡的雨(演唱会),http://em.21dtv.com/songs/60019096.mkv
ADELE-make you feel my love,http://em.21dtv.com/songs/60084745.mkv
李克勤-缱绻星光下(演唱会),http://em.21dtv.com/songs/60034340.mkv
邓智乐-雨中即景(演唱会),http://em.21dtv.com/songs/60055752.mkv
佚名-绿岛小夜曲(慢四),http://em.21dtv.com/songs/60028154.mkv
伍思凯-想念(演唱会),http://em.21dtv.com/songs/60049176.mkv
王梦麟+张行-阿美阿美(演唱会),http://em.21dtv.com/songs/60006791.mkv
桥边姑娘,https://vdse.bdstatic.com/8ae4235344c61f9c05ccf3716c84e823.mp4?authorization=bce-auth-v1%2Ffb297a5cc0fb434c971b8fa103e8dd7b%2F2017-05-11T09%3A02%3A31Z%2F-1%2F
孙楠+朱婷婷+王逸洁-美丽的神话(),http://em.21dtv.com/songs/10012774.mkv
俞灏明-亲爱的小孩,http://em.21dtv.com/songs/60098115.mkv
TWINS-恋爱大过天(演唱会),http://em.21dtv.com/songs/60026998.mkv
郭富城-梦伴(演唱会),http://em.21dtv.com/songs/60029477.mkv
江映蓉-如果没有你(演唱会),http://em.21dtv.com/songs/60036822.mkv
杨千嬅-你还爱我吗(演唱会),http://em.21dtv.com/songs/60031733.mkv
顾莉雅-我爱你中国(演唱会),http://em.21dtv.com/songs/60044654.mkv
任贤齐+周华健-天才白痴梦(演唱会),http://em.21dtv.com/songs/60041753.mkv
任贤齐+李宗盛-鬼迷心窍,http://em.21dtv.com/songs/60019402.mkv
甄妮-明日话今天(演唱会),http://em.21dtv.com/songs/60030135.mkv
高胜美-你走你的路,http://em.21dtv.com/songs/60032577.mkv
田震-千百回期待(演唱会),http://em.21dtv.com/songs/60034057.mkv
尹光+吕有慧-俩忘烟水里(演唱会),http://em.21dtv.com/songs/60061366.mkv
赵薇+黄渤+佟大为+郝蕾+张译-亲爱的小孩,http://em.21dtv.com/songs/60104458.mkv
梅艳芳-梦伴(演唱会),http://em.21dtv.com/songs/60029478.mkv
许志安-侧面(演唱会),http://em.21dtv.com/songs/60012139.mkv
王力宏-梦想被冷冻(演唱会),http://em.21dtv.com/songs/60029668.mkv
毛阿敏-没有根的花,http://em.21dtv.com/songs/60028784.mkv
李克勤-球迷奇遇记(演唱会),http://em.21dtv.com/songs/60035810.mkv
林子祥+谢安琪-俩忘烟水里(演唱会),http://em.21dtv.com/songs/60076405.mkv
许巍-时光(演唱会),http://em.21dtv.com/songs/60039096.mkv
张赫宣-亲爱的小孩,http://em.21dtv.com/songs/60106865.mkv
欧阳菲菲-热情的沙漠,http://em.21dtv.com/songs/60036266.mkv
关淑怡-恋一世的爱(演唱会),http://em.21dtv.com/songs/60027152.mkv
任贤齐-如果没有你(演唱会),http://em.21dtv.com/songs/60036824.mkv
陈诗莉-世界都知道,http://em.21dtv.com/songs/60077633.mkv
关淑怡-梦伴(演唱会),http://em.21dtv.com/songs/60029476.mkv
凤凰传奇-策马奔腾,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042013&response=res&format=mp4&type=convert_url
霍尊-美丽的神话,http://em.21dtv.com/songs/60111516.mkv
张清芳-纯粹,http://em.21dtv.com/songs/60013385.mkv
ADELE-make you feel my love(演唱会),http://em.21dtv.com/songs/60067940.mkv
黄小琥-没那么简单,http://em.21dtv.com/songs/60028730.mkv
新宝岛康乐队-光明戏院,http://em.21dtv.com/songs/60071972.mkv
凤凰传奇-自由自在,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042025&response=res&format=mp4&type=convert_url
张行+王梦麟-雨中即景(演唱会),http://em.21dtv.com/songs/60055753.mkv
黄晓明-你在我心上,http://em.21dtv.com/songs/60032476.mkv
陈奕迅-玛利奥派对(演唱会),http://em.21dtv.com/songs/60028396.mkv
李心洁-像你,http://em.21dtv.com/songs/60049391.mkv
童安格-让生命等候,http://em.21dtv.com/songs/60036098.mkv
陈奕迅-每一个明天(演唱会),http://em.21dtv.com/songs/60029081.mkv
MATZKA-青苹果乐园(演唱会),http://em.21dtv.com/songs/60064733.mkv
胡美仪-蔓莉蔓莉我爱你(演唱会),http://em.21dtv.com/songs/60028554.mkv
庾澄庆组学员-热情的沙漠,http://em.21dtv.com/songs/60081431.mkv
黄凯芹-每一个晚上(演唱会),http://em.21dtv.com/songs/60029087.mkv
钟镇涛-让一切随风(演唱会),http://em.21dtv.com/songs/60036211.mkv
谭咏麟+李克勤-梦仍是一样(演唱会),http://em.21dtv.com/songs/60029634.mkv
张学友-你是爱我的(演唱会),http://em.21dtv.com/songs/60031991.mkv
汪峰-你走你的路(演唱会),http://em.21dtv.com/songs/60128161.mkv
誓言-鬼迷心窍,http://em.21dtv.com/songs/60019403.mkv
容祖儿-去火星恋爱(演唱会),http://em.21dtv.com/songs/60035841.mkv
周华健-温柔的瞬息,http://em.21dtv.com/songs/60090835.mkv
安东阳+樊桐舟-万水千山总是爱,http://em.21dtv.com/songs/60099201.mkv
华晨宇-亲爱的小孩,http://em.21dtv.com/songs/60105668.mkv
苏永康-热情的沙漠,http://em.21dtv.com/songs/60088539.mkv
李家发+伍婉琛-片片枫叶情(演唱会),http://em.21dtv.com/songs/60033435.mkv
泽仁娜措-琼杰的朋友(藏),http://em.21dtv.com/songs/60069740.mkv
崔健-不是我不明白(演唱会),http://em.21dtv.com/songs/60011382.mkv
张智霖+许秋怡-片片枫叶情(演唱会),http://em.21dtv.com/songs/60033436.mkv
叶振棠+陈秀雯-情缘万世长(演唱会),http://em.21dtv.com/songs/60035441.mkv
徐小凤-每日怀念你(演唱会),http://em.21dtv.com/songs/60029044.mkv
关淑怡-缱绻星光下(演唱会),http://em.21dtv.com/songs/60034339.mkv
罗敏庄+杜雯惠-让一切随风(演唱会),http://em.21dtv.com/songs/60077335.mkv
凤凰传奇-歌唱二小放牛郎,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_8120530&response=res&format=mp4&type=convert_url
